Id,Designator,Package,Quantity,Designation,Supplier and ref,Link,Num RS,Precio,Otras opciones,RS
1,P1,Pin_Header_Straight_2x06,1,CONN_02X05,,,,,,
2,"C1,C2,C3,C4",C_0603,4,100nF/50V,AVX 100nF Multilayer Ceramic Capacitor (MLCC) 50V dc 0603 SMT Max. Op. Temp. +125°C ,http://int.rsdelivers.com/product/avx/06035c104k4z2a/avx-100nf-multilayer-ceramic-capacitor-mlcc-50v/1356234,135-6234 ,"0,172 usd x unid",,
,,,,,AVX 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,698-3260 ,"0,0340587USD",,
,,,,,TDK 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,788-2985 ,"0,0904363USD",,
,,,,,Wurth Elektronik 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount ,,135-8345,"0,00587186USD",,
3,C5,PANASONIC_H13,1,100uF/63V,Panasonic Aluminium Electrolytic Capacitor 100μF 63V dc 10mm Surface Mount FK SMD Series +105°C ,http://int.rsdelivers.com/product/panasonic/eeefk1j101p/panasonic-aluminium-electrolytic-capacitor-100%CE%BCf/7083623,708-3623 ,"0,57 USD",,
,,,,,Panasonic Aluminium Electrolytic Capacitor 100μF 63V dc 10mm Surface Mount TG Series +125°C,,569-427,"1,42 USD",,
,,,,,NIC Components Aluminium Electrolytic Capacitor 100μF 63V dc 10mm Surface Mount NATT Series +125°C ,,737-2955 ,"0,37 USD",,
,,,,,Vishay Aluminium Electrolytic Capacitor 100μF 63V dc 10mm Surface Mount 1012 146 CTI Series +125°C ,,747-0850 ,"2,06 USD",,
,,,,,Panasonic Aluminium Electrolytic Capacitor 100μF 63V dc 10mm Surface Mount S Series +85°C ,,867-5548 ,"0,90 USD",,
,,,,,Nippon Chemi-Con Aluminium Electrolytic Capacitor 100μF 63V dc 12.5mm Surface Mount KE0 MVH Series +125°C ,,812-9061,"1,62 USD",,
4,C6,C_0603,1,100nF / 50V,AVX 100nF Multilayer Ceramic Capacitor (MLCC) 50V dc 0603 SMT Max. Op. Temp. +125°C ,http://int.rsdelivers.com/product/avx/06035c104k4z2a/avx-100nf-multilayer-ceramic-capacitor-mlcc-50v/1356234,135-6234 ,"0,172 usd x unid",,
,,,,,AVX 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,698-3260 ,"0,0340587USD",,
,,,,,TDK 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,788-2985 ,"0,0904363USD",,
,,,,,Wurth Elektronik 100nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount ,,135-8345,"0,00587186USD",,
5,C7,C_0603,1,10uF / 10V,New AVX 10μF Multilayer Ceramic Capacitor MLCC 10V dc 0603 SMT Max. Op. Temp. +85°C ,,135-8351 ,"0,58 USD",,
,,,,,Murata 10μF Multilayer Ceramic Capacitor MLCC 10V dc ±20% X5R Dielectric 0603 Surface Mount Max. Op. Temp. +85°C,,846-4727,"0,27 USD",,
,,,,,TDK 10μF Multilayer Ceramic Capacitor MLCC 10V dc ±10% X5R Dielectric 0603 Surface Mount Max. Op. Temp. +85°C,,788-2893,"0,65 USD",,
,,,,,Murata 10μF Multilayer Ceramic Capacitor MLCC 10V dc ±20% X7T Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,815-1349,"0,29 USD",,
,,,,,TDK 10μF Multilayer Ceramic Capacitor MLCC 10V dc ±20% X6S Dielectric 0603 SMT Max. Op. Temp. +105°C ,,915-9170 ,"0,51 USD",,
,,,,,TDK 10μF Multilayer Ceramic Capacitor MLCC 10V dc ±20% X5R Dielectric 0603 SMT Max. Op. Temp. +85°C ,,915-9117 ,"0,62 USD",,
6,C8,C_0603,1,0.1uF / 10 V,Wurth Elektronik 100nF Multilayer Ceramic Capacitor MLCC 10V dc ±10% X7R Dielectric 0603 Surface Mount,,839-2720,"0,04 USD",,
7,C9,C_0603,1,47uF / 10 V,Murata 47μF Multilayer Ceramic Capacitor MLCC 6.3V dc ±20% X5R Dielectric 0603 Solder Max. Op. Temp. +85°C ,,901-5332,"0,73 USD",,
8,C10,C_0603,1,220nF / 50V,TDK 220nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,788-2997 ,"0,23 USD",,
,,,,,Murata 220nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C,,790-0566 ,"0,12 USD",,
,,,,,Murata 220nF Multilayer Ceramic Capacitor MLCC 50V dc -20 → +80% Y5V Dielectric 0603 Max. Op. Temp. +85°C,,723-5531,"0,06 USD",,
,,,,,TDK 220nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,788-2994 ,"0,17 USD",,
9,C11,C_0603,1,10nF / 50 V,Murata 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,204-0779,"0,02 USD",,
,,,,,TDK 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,788-2981 ,"0,03 USD",,
,,,,,Murata 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±5% C0G Dielectric 0603 Surface Mount Max. Op. Temp. +125°C,,815-1430 ,"0,04 USD",,
,,,,,TDK 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±5% C0G Dielectric 0603 Surface Mount Max. Op. Temp. +125°C,,788-2988,"0,57 USD",,
,,,,,Syfer Technology 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount ,,773-8507 ,"0,11 USD",,
,,,,,AVX 10nF Multilayer Ceramic Capacitor MLCC 50V dc ±10% X7R Dielectric 0603 Surface Mount Max. Op. Temp. +125°C ,,698-3254 ,"0,01 USD",,
10,D1,SOT-23,1,D_Schottky_x2_Serial_CAK,"BAS70-04-7-F Diodes Inc Dual SMT Schottky Switching Diode, Series, 70V 70mA, 5ns, 3-Pin SOT-23",,738-4822,"0,20 USD ",,
,,,,,"Broadcom HSMS-2802-BLKG Dual SMT Schottky Diode, Series, 70V 15mA, 3-Pin SOT-23 ",,812-0543 ,"0,43 USD",,
,,,,,"BAV99 RF Taiwan Semi Dual SMT Diode, Series, 70V 200mA, 6ns, 3-Pin SOT-23 ",,687-2801 ,"0,08 USD",,
,,,,,"Fairchild MMBD4148SE Dual SMT Diode, Series, 100V 200mA, 4ns, 3-Pin SOT-23 ",,739-0436 ,"0,14 USD",,
,,,,,"BAS70-04FILM STMicroelectronics Dual SMT Schottky Diode, Series, 70V 70mA, 3-Pin SOT-23",,714-0473 ,"0,10 USD",,
11,J1,TerminalBlock_Pheonix_PT-3.5mm_4pol,1,CONN_STEPPER,"Phoenix Contact COMBICON MKDS Series 3.5mm Pitch Straight, PCB Terminal Block, Through Hole, 4 Way ",,802-4852 ,"1,47 USD",,
12,JP1,SOLDER-JUMPER_2-WAY,1,JUMPER3,,,,,,
13,"P2,P3",TerminalBlock_Pheonix_PT-3.5mm_2pol,2,CONN_01X02,"Phoenix Contact COMBICON MKDS Series 3.5mm Pitch Straight, PCB Terminal Block, Through Hole, 2 Way ",,802-4849 ,"0,73 USD",,
14,R1,R_0603,1,100,Panasonic ERA Series Metal Film Thin Film Surface Mount Fixed Resistor 0603 Case 100Ω ±0.1% 0.1W ±25ppm/°C ,http://int.rsdelivers.com/product/panasonic/era3aeb101v/panasonic-era-series-metal-film-thin-film-surface/0566535,566-535 ,"0,38 USD",,
,,,,,Bourns CR0603 Series Thick Film Surface Mount Fixed Resistor 0603 Case 100Ω ±1% 0.1W ±100ppm/°C,,740-8798 ,"0,02 USD",,
,,,,,TE Connectivity CRG Series Thick Film Surface Mount Fixed Resistor 0603 Case 100Ω ±1% 0.1W ±200ppm/°C ,,213-2143,"0,04 USD",,
,,,,,Bourns CR0603 Series Thick Film Surface Mount Fixed Resistor 0603 Case 100Ω ±5% 0.1W ±200ppm/°C,,740-8886 ,"0,02 USD",,
,,,,,Panasonic ERJP03 Series Thick Film Surface Mount Fixed Resistor 0603 Case 100Ω ±1% 0.2W ±200ppm/°C ,,721-7261,"0,54 USD",,
,,,,,Vishay TNPW Series Precision Thin Film Surface Mount Fixed Resistor 0603 Case 100Ω ±0.1% 0.1W ±10ppm/°C ,,684-5641 ,"0,66 USD",,
15,"R2,R3",R_0603,2,39K,TE Connectivity CRG Series Thick Film Surface Mount Fixed Resistor 0603 Case 39kΩ ±1% 0.1W ±100ppm/°C,,213-2480,"0,004 USD",,
,,,,,Vishay CRCW Series Thick Film Surface Mount Fixed Resistor 0603 Case 39kΩ ±1% 0.1W ±100ppm/°C ,,679-0285,"0,02 USD",,
